country,region,continent,code,education,employment ,unemployment,income,homicide,mortality ,life,pollution,vote,broadband,rooms,social ,satisfaction
Lithuania,Šiauliai,Eastern Europe,LT006,91.3,59.9,13.4,17678,7.2,11.5,74.0,12.7,44.0,61.2,1.5,86.0,6.4
Poland,Swietokrzyskie,Central Europe,PL33,93.2,60.0,7.2,11359,0.9,9.6,77.9,23.6,46.8,66.5,0.9,89.9,5.4
Poland,Podlaskie,Central Europe,PL34,92.9,60.0,4.7,10784,0.9,9.2,78.4,18.4,47.1,71.0,1.1,92.1,5.8
Italy,Lazio,Southern Europe,ITI4,74.4,60.5,10.9,19864,0.9,6.7,83.2,17.6,72.6,81.0,1.7,92.4,6.1
Slovak Republic,East Slovakia,Central Europe,SK04,91.5,60.6,12.1,11167,1.0,10.1,77.2,19.9,55.1,82.0,1.0,90.9,6.0
Poland,Slaskie,Central Europe,PL22,96.2,60.7,4.0,14792,1.5,9.8,77.4,27.6,52.2,74.0,1.0,89.4,5.8
Poland,Opolskie,Central Europe,PL52,93.9,60.7,4.4,12055,0.8,9.3,78.2,25.4,43.1,73.0,1.1,88.1,5.8
Spain,Galicia,Southern Europe,ES11,62.3,60.7,15.8,14885,0.4,6.6,83.0,8.1,58.8,78.0,2.2,92.3,6.3
Poland,Lubuskie,Central Europe,PL43,93.3,60.8,3.7,11688,2.8,9.8,77.4,17.9,44.6,72.0,1.0,87.5,5.9
Spain,Valencia,Southern Europe,ES52,60.7,60.9,18.3,14202,0.6,6.7,83.0,12.4,72.4,81.0,1.9,93.3,6.3
Poland,Dolnoslaskie,Central Europe,PL51,95.3,61.5,4.8,13622,1.8,9.6,77.7,21.6,49.4,77.0,1.1,86.7,6.0
Poland,Malopolskie,Central Europe,PL21,96.1,61.6,4.2,12386,0.5,8.8,79.3,24.7,54.9,77.0,1.0,91.5,5.8
Lithuania,Alytus,Eastern Europe,LT001,95.7,62.0,15.7,19976,6.1,11.2,74.3,16.4,56.1,64.6,1.5,85.6,6.3
Hungary,Southern Transdanubia,Central Europe,HU23,83.4,62.0,6.4,10275,1.0,11.3,75.9,18.5,59.1,80.0,1.3,91.4,4.8
Lithuania,Utena,Eastern Europe,LT009,93.8,62.1,14.2,16584,6.5,12.6,73.1,12.2,51.8,60.4,1.5,86.0,6.5
Spain,Cantabria,Southern Europe,ES13,70.5,62.3,13.6,15708,0.0,6.6,83.5,9.0,68.5,82.0,1.8,100.0,7.0
Italy,Liguria,Southern Europe,ITC3,69.7,62.3,9.7,22290,0.5,6.5,83.6,26.2,72.0,81.0,2.0,94.5,6.0
Lithuania,Taurage,Eastern Europe,LT007,88.5,62.4,9.2,16094,4.9,12.6,73.3,0.0,51.6,62.8,1.5,85.3,6.2
France,Occitanie,Western Europe,FRJ,82.8,62.4,9.7,19210,1.4,6.6,83.1,10.8,81.1,80.0,1.9,92.4,6.8
France,Grand Est,Western Europe,FRF,82.7,62.4,10.1,19593,1.1,7.1,82.1,13.7,78.7,78.0,1.9,93.2,6.5
France,Normandy,Western Europe,FRD,80.2,62.4,10.1,19968,1.0,7.2,81.9,13.0,80.9,74.0,1.8,91.1,6.5
Hungary,Northern Hungary,Central Europe,HU31,84.3,62.5,5.9,9671,1.6,12.2,74.6,19.6,60.3,75.0,1.2,87.5,4.5
Spain,Castile and León,Southern Europe,ES41,63.3,62.6,14.2,16060,0.4,6.1,84.3,8.2,68.8,78.0,2.2,93.5,6.3
Italy,Lombardy,Southern Europe,ITC4,69.0,62.7,6.5,23960,0.6,6.2,84.0,38.2,76.8,83.0,1.7,88.1,6.3
Italy,Umbria,Southern Europe,ITI2,72.9,62.8,10.8,19480,0.9,6.3,84.1,18.6,78.2,79.0,1.8,81.1,6.1
Portugal,Madeira,Southern Europe,PT30,44.0,62.8,11.0,14063,1.2,9.7,78.5,5.0,48.9,81.0,1.6,82.2,5.2
Portugal,Azores,Southern Europe,PT20,40.7,62.9,9.3,14678,0.4,10.6,77.6,3.2,41.2,84.0,1.8,90.8,5.4
Lithuania,Marijampole,Eastern Europe,LT004,93.3,63.0,10.6,17675,10.0,11.6,73.9,15.7,43.2,63.5,1.4,86.2,6.4
Lithuania,Panevežys,Eastern Europe,LT005,91.7,63.1,12.2,19470,4.7,11.6,74.5,13.2,42.6,70.0,1.6,85.2,6.3
Hungary,Northern Great Plain,Central Europe,HU32,81.6,63.3,7.4,9696,1.0,11.6,75.6,18.9,58.4,76.0,1.1,84.6,4.9
France,Provence-Alpes-Côte d’Azur,Western Europe,FRL,81.0,63.3,10.4,20391,1.7,6.6,83.1,13.0,78.8,82.0,1.6,90.3,6.7
Poland,Pomorskie,Central Europe,PL63,93.9,63.4,4.3,12632,0.9,9.3,78.3,16.4,51.9,81.0,1.0,88.4,6.1
Austria,Vienna,Central Europe,AT13,86.3,63.7,10.5,23003,0.9,8.1,80.9,21.5,76.1,89.0,1.6,90.8,7.2
Latvia,Kurzeme,Eastern Europe,LV003,90.0,63.8,10.8,19783,2.8,12.2,74.9,10.5,58.4,69.7,1.2,80.1,6.2
France,Bourgogne-Franche-Comté,Western Europe,FRC,82.6,64.4,9.2,20339,0.7,7.0,82.3,13.4,79.4,77.0,1.9,92.0,6.7
Latvia,Vidzeme,Eastern Europe,LV008,91.0,64.6,11.8,17783,5.6,11.7,74.1,11.4,60.1,70.3,1.4,83.0,6.2
France,Nouvelle-Aquitaine,Western Europe,FRI,84.2,64.6,9.5,19859,1.2,6.7,82.9,11.2,80.5,77.0,2.0,92.0,6.9
France,Centre - Val de Loire,Western Europe,FRB,82.5,64.7,8.7,20481,0.9,6.9,82.5,12.3,80.3,77.0,1.9,90.1,6.5
Luxembourg,Luxembourg,Western Europe,LU00,79.7,64.9,5.6,29279,0.9,6.9,82.7,12.3,91.1,97.0,2.0,87.4,6.9
Italy,Piedmont,Southern Europe,ITC1,66.0,65.1,9.3,22077,0.6,6.7,83.3,28.0,75.2,80.0,1.8,92.9,6.5
Latvia,Zemgale,Eastern Europe,LV009,80.0,65.2,11.5,17783,3.7,12.2,74.0,12.3,55.5,70.8,1.3,82.3,6.3
Spain,Basque Country,Southern Europe,ES21,76.0,65.3,11.4,21119,0.3,6.3,83.9,10.0,65.2,86.0,2.1,96.4,6.9
Slovak Republic,Central Slovakia,Central Europe,SK03,93.0,65.4,9.5,12441,1.0,10.5,77.0,20.1,61.3,77.0,1.1,91.3,6.0
France,Brittany,Western Europe,FRH,87.7,65.6,7.4,19858,0.4,7.2,82.0,9.9,83.5,78.0,2.0,92.0,6.9
Italy,Friuli-Venezia Giulia,Southern Europe,ITH4,72.9,65.6,6.9,21931,0.7,6.6,83.5,22.2,75.1,80.0,2.0,92.8,6.5
Lithuania,Telšiai,Eastern Europe,LT008,91.8,65.8,10.4,16789,6.3,11.0,74.8,14.0,40.5,69.8,1.6,85.3,6.4
Italy,Tuscany,Southern Europe,ITI1,68.7,65.9,8.8,21045,0.7,6.4,83.9,23.6,77.3,80.0,1.9,90.1,6.1
Portugal,North,Southern Europe,PT11,47.5,65.9,10.2,12631,0.6,7.4,81.7,8.1,57.8,74.0,1.9,85.7,5.3
Italy,Veneto,Southern Europe,ITH3,69.9,66.0,6.5,21271,0.2,6.3,83.9,33.5,78.7,81.0,1.8,88.9,6.3
Spain,La Rioja,Southern Europe,ES23,64.3,66.0,12.1,16746,0.0,6.2,84.3,9.3,70.6,80.0,2.1,81.2,6.2
France,Île-de-France,Western Europe,FR1,82.7,66.1,8.8,24302,1.2,6.1,84.2,16.0,79.9,87.0,1.5,91.6,6.6
Poland,Lódzkie,Central Europe,PL11,93.5,66.2,4.7,13134,1.1,10.4,76.5,25.3,51.6,72.0,1.0,89.7,5.8
Hungary,Southern Great Plain,Central Europe,HU33,86.4,66.3,4.2,10385,0.7,11.3,75.9,18.3,58.3,76.0,1.3,89.5,4.8
Spain,Aragon,Southern Europe,ES24,66.8,66.4,11.7,17292,0.6,6.3,83.8,8.7,69.9,84.0,2.1,90.8,6.7
Spain,Balearic Islands,Southern Europe,ES53,60.1,66.4,12.6,15933,0.8,6.5,83.4,11.7,60.7,88.0,1.9,91.1,6.8
Poland,Wielkopolskie,Central Europe,PL41,95.1,66.6,3.2,13482,0.6,9.7,78.0,21.0,50.2,78.0,1.0,91.8,6.0
France,Auvergne-Rhône-Alpes,Western Europe,FRK,85.4,66.7,7.5,20829,1.2,6.4,83.6,13.9,79.3,80.0,1.8,94.9,6.8
Spain,Madrid,Southern Europe,ES30,75.2,66.7,13.5,20372,0.5,5.7,85.2,11.2,70.8,89.0,1.8,93.8,6.4
Spain,Navarra,Southern Europe,ES22,72.2,66.7,10.3,20133,0.2,6.3,84.1,10.3,67.4,88.0,2.1,98.1,7.0
Finland,Eastern and Northern Finland,Scandinavia,FI1D,88.4,66.8,9.9,17192,0.4,7.9,81.0,6.4,64.7,92.0,1.9,93.8,7.5
United Kingdom,Northern Ireland,British Isles,UKN,78.8,66.8,4.7,17233,0.9,7.9,81.1,7.0,58.1,87.0,1.8,95.1,7.0
Italy,Aosta Valley,Southern Europe,ITC2,63.6,66.8,7.9,22258,0.0,6.8,83.0,21.1,72.3,74.0,1.7,81.0,6.8
Spain,Catalonia,Southern Europe,ES51,65.0,66.9,13.5,18632,0.7,6.3,83.9,13.3,63.4,83.0,1.9,91.5,6.4
Belgium,Flemish Region (Vlaams Gewest),Western Europe,BE2,85.0,67.0,4.4,20822,1.0,6.9,82.6,14.9,90.8,86.0,2.3,94.5,7.2
Italy,Trento,Southern Europe,ITH2,76.6,67.3,5.8,22556,0.8,6.2,84.3,13.8,74.3,82.0,1.7,93.2,6.7
Poland,Mazowieckie,Central Europe,PL12,95.3,67.5,4.9,15626,1.3,9.2,78.4,23.3,58.7,78.0,1.1,90.8,5.9
France,Pays de la Loire,Western Europe,FRG,85.7,67.7,7.1,19746,0.7,6.6,83.1,10.9,83.3,77.0,1.9,92.3,6.8
Portugal,Alentejo,Southern Europe,PT18,48.3,68.1,8.8,13777,1.1,8.3,80.2,6.4,58.0,66.0,2.0,79.7,5.4
Finland,Southern Finland,Scandinavia,FI1C,87.6,68.2,8.7,18206,0.6,7.8,81.3,6.2,66.0,91.0,1.9,93.9,7.5
Italy,Emilia-Romagna,Southern Europe,ITH5,70.6,68.4,6.7,23781,0.6,6.5,83.7,33.1,78.3,83.0,1.8,87.5,6.3
Estonia,West Estonia,Eastern Europe,EE004,87.3,68.5,8.5,7692,4.7,9.6,77.8,7.5,60.5,85.1,1.6,85.0,5.4
Estonia,Central Estonia,Eastern Europe,EE006,83.7,68.5,6.7,9035,0.8,10.1,77.1,7.1,61.0,85.1,1.7,91.2,5.7
Slovenia,Eastern Slovenia,Southeast Europe,SI03,90.0,68.7,6.9,14406,1.9,8.4,80.2,17.6,49.4,80.0,1.4,91.8,5.9
Finland,Western Finland,Scandinavia,FI19,89.3,68.7,9.5,17783,0.3,7.6,81.7,5.9,67.4,92.0,1.9,94.3,7.5
Estonia,South Estonia,Eastern Europe,EE008,90.3,69.1,5.0,8247,3.5,9.4,77.8,9.0,62.7,86.2,1.6,87.0,5.5
Portugal,Central Portugal,Southern Europe,PT16,48.9,69.1,7.5,13629,0.5,7.6,81.5,9.5,55.6,72.0,2.1,86.9,5.1
Slovak Republic,West Slovakia,Central Europe,SK02,94.7,69.2,5.5,12677,1.1,10.5,77.2,22.0,60.2,76.0,1.1,87.4,6.1
Austria,Carinthia,Central Europe,AT21,89.4,69.4,4.9,23031,0.0,7.5,81.8,14.1,78.5,85.0,1.9,93.0,7.3
Portugal,Lisbon,Southern Europe,PT17,63.4,69.4,9.8,17624,0.6,7.3,81.7,7.2,60.1,85.0,1.9,87.5,5.4
Lithuania,Kaunas,Eastern Europe,LT002,96.8,69.5,7.3,19976,6.0,11.1,75.2,15.5,46.8,73.9,1.5,88.0,6.3
Hungary,Central Transdanubia,Central Europe,HU21,86.5,69.9,2.3,11354,1.0,11.3,76.0,19.4,61.4,85.0,1.2,89.8,5.2
Slovenia,Western Slovenia,Southeast Europe,SI04,91.3,70.0,6.4,15182,2.0,6.9,82.6,18.9,55.2,84.0,1.4,92.1,6.2
Austria,Burgenland,Central Europe,AT11,87.7,70.0,5.3,23709,0.3,7.7,81.4,18.3,84.5,85.0,2.0,92.5,7.2
United Kingdom,West Midlands,British Isles,UKG,79.4,70.0,5.7,18010,1.1,7.8,80.9,7.8,63.5,94.0,2.1,95.3,6.8
Hungary,Western Transdanubia,Central Europe,HU22,88.6,70.2,2.5,11299,0.5,10.9,76.6,19.3,62.7,83.0,1.3,85.0,5.3
Lithuania,Vilnius,Eastern Europe,LT00A,96.8,70.4,7.7,15463,4.3,11.2,75.1,12.9,51.6,66.9,1.5,84.5,6.5
Germany,Bremen,Central Europe,DE5,84.1,70.4,4.5,22941,1.3,8.3,80.1,12.9,70.8,94.0,1.8,93.9,6.9
Hungary,Central Hungary,Central Europe,HU10,91.9,70.5,2.8,10693,1.1,10.3,77.6,22.0,66.3,89.0,1.2,86.3,5.0
United Kingdom,North East England,British Isles,UKC,80.5,70.5,5.7,17738,1.0,8.6,79.9,6.7,61.2,84.0,2.2,92.1,6.7
Latvia,Pieriga,Eastern Europe,LV007,88.5,70.7,5.9,18783,3.8,10.8,75.6,11.2,64.5,78.0,1.2,81.0,6.3
Switzerland,Lake Geneva Region,Central Europe,CH01,82.8,70.8,8.1,24086,0.9,6.1,84.2,14.5,47.0,89.0,1.5,94.3,7.4
United Kingdom,Wales,British Isles,UKL,81.6,70.8,4.7,17733,1.1,8.2,80.4,10.5,65.7,90.0,2.2,95.0,6.8
Iceland,Reykjavik Region,Scandinavia,IS01,78.1,70.8,3.3,16290,1.4,7.2,82.2,2.9,74.7,93.0,1.6,97.6,7.1
Norway,South-Eastern Norway,Scandinavia,NO03,79.5,70.9,4.6,23238,0.6,7.5,82.1,5.4,76.3,95.0,2.1,95.0,7.6
Austria,Styria,Central Europe,AT22,87.0,71.0,4.6,23253,0.3,7.4,82.1,15.4,79.8,90.0,1.8,93.6,7.4
United Kingdom,Yorkshire and The Humber,British Isles,UKE,80.4,71.2,5.0,17716,3.0,8.1,80.7,7.8,63.1,91.0,2.1,95.8,6.9
Iceland,Other Regions,Scandinavia,IS02,64.7,71.2,2.4,16290,0.0,7.8,82.2,1.7,76.3,91.0,1.6,95.6,7.3
Czech Republic,Northwest,Western Europe,CZ04,90.3,71.4,3.5,12458,1.7,10.5,77.2,17.4,52.3,78.0,1.5,91.0,6.3
Czech Republic,Moravia-Silesia,Western Europe,CZ08,94.7,71.5,4.8,12662,1.4,10.0,78.0,23.2,55.9,81.0,1.3,83.7,6.2
Portugal,Algarve,Southern Europe,PT15,51.8,71.5,8.1,15323,1.1,8.3,80.3,6.9,51.4,73.0,1.9,83.2,5.2
Germany,North Rhine-Westphalia,Central Europe,DEA,84.3,71.7,4.2,23613,0.5,8.1,80.6,13.9,75.4,93.0,1.8,94.2,6.8
United Kingdom,North West England,British Isles,UKD,82.7,71.8,4.2,18419,1.3,8.4,80.0,10.3,64.0,93.0,2.1,94.4,6.8
United Kingdom,Scotland,British Isles,UKM,83.5,72.0,4.2,19994,1.2,8.8,79.3,7.6,71.1,94.0,1.9,96.0,7.1
Denmark,Northern Jutland,Scandinavia,DK05,76.5,72.0,5.5,17418,0.9,8.2,80.5,7.5,84.8,92.0,1.9,97.0,7.7
Latvia,Riga,Eastern Europe,LV006,88.0,72.1,7.5,17783,5.5,10.6,75.6,12.2,69.7,79.7,1.4,80.2,6.1
Germany,Saarland,Central Europe,DEC,85.2,72.1,4.6,22469,1.0,8.3,80.2,13.2,76.6,87.0,1.8,92.4,6.7
Germany,Mecklenburg-Vorpommern,Central Europe,DE8,91.8,72.2,5.2,19589,0.7,8.2,80.1,12.7,70.9,85.0,2.0,93.9,6.5
Norway,Agder and Rogaland,Scandinavia,NO04,82.0,72.2,5.3,24603,0.5,7.3,82.5,6.3,77.6,95.0,2.0,92.4,7.6
Italy,Bolzano-Bozen,Southern Europe,ITH1,69.5,72.2,3.1,26075,0.4,6.2,84.1,20.9,74.3,80.0,1.6,93.2,6.7
United Kingdom,East Midlands,British Isles,UKF,82.2,72.3,4.1,18476,1.1,7.7,81.3,7.4,66.6,91.0,2.1,95.0,6.9
Czech Republic,Central Moravia,Western Europe,CZ07,95.4,72.4,3.4,12813,0.9,9.2,78.9,17.1,60.9,81.0,1.4,92.7,6.6
Germany,Berlin,Central Europe,DE3,87.6,72.5,7.1,21133,1.2,7.8,80.9,14.9,75.6,95.0,1.8,94.5,6.4
Denmark,Southern Denmark,Scandinavia,DK03,78.1,72.5,6.3,17473,1.3,7.8,81.2,9.8,85.8,92.0,1.9,95.7,7.5
Denmark,Zealand,Scandinavia,DK02,76.0,72.5,5.6,17980,0.4,8.5,80.2,11.8,85.7,89.0,1.8,94.4,7.5
Germany,Saxony-Anhalt,Central Europe,DEE,91.4,72.6,7.0,20122,1.1,8.5,79.8,14.2,68.1,91.0,2.1,95.2,6.1
United Kingdom,Greater London,British Isles,UKI,88.7,72.8,5.4,26727,1.2,6.8,82.8,11.3,65.5,96.0,1.8,92.9,6.7
Switzerland,Ticino,Central Europe,CH07,84.8,72.8,6.2,22009,0.6,5.7,85.0,20.8,54.4,84.0,1.7,89.6,7.3
Finland,Helsinki-Uusimaa,Scandinavia,FI1B,88.0,72.9,7.9,20938,0.3,7.4,82.0,7.8,69.6,98.0,1.8,93.9,7.5
Austria,Lower Austria,Central Europe,AT12,86.2,73.0,4.9,24863,0.5,7.8,81.4,17.8,84.8,89.0,1.9,91.3,7.3
Denmark,Central Jutland,Scandinavia,DK04,78.8,73.2,5.4,17674,0.6,7.7,81.5,8.9,86.8,92.0,1.8,96.8,7.6
Czech Republic,Southeast,Western Europe,CZ06,96.2,73.3,3.2,13948,1.2,8.7,79.9,21.5,62.4,83.0,1.5,90.0,6.5
Czech Republic,Northeast,Western Europe,CZ05,94.8,73.3,2.9,13455,1.0,8.9,79.6,22.9,62.3,80.0,1.5,91.9,6.6
Austria,Tyrol,Central Europe,AT33,84.9,73.3,3.4,23442,0.4,6.9,82.8,11.4,76.4,89.0,1.7,96.0,7.5
Lithuania,Klaipeda,Eastern Europe,LT003,94.9,73.4,6.2,18675,6.1,11.1,75.3,13.3,40.7,67.4,1.6,84.0,6.2
Norway,Northern Norway,Scandinavia,NO07,78.7,73.4,3.3,23308,0.6,7.6,81.9,6.3,74.4,96.0,2.1,90.4,7.5
Germany,Schleswig-Holstein,Central Europe,DEF,87.0,73.9,3.7,24308,0.6,8.2,80.6,11.6,76.3,88.0,1.9,96.0,6.9
Sweden,South Sweden,Scandinavia,SE22,85.6,74.1,8.7,20699,1.3,7.3,82.4,11.6,84.4,90.0,1.7,93.2,7.5
Germany,Lower Saxony,Central Europe,DE9,85.5,74.1,3.9,23045,1.2,8.2,80.5,12.5,76.4,95.0,1.8,93.4,6.9
Czech Republic,Southwest,Western Europe,CZ03,95.2,74.2,2.1,13603,1.0,9.2,79.3,15.9,60.9,82.0,1.5,86.7,6.4
Austria,Salzburg,Central Europe,AT32,87.6,74.3,3.2,24376,0.4,7.0,82.7,13.9,80.7,88.0,1.8,93.4,7.3
Norway,Hedmark and Oppland,Scandinavia,NO02,80.5,74.3,2.9,22645,1.0,7.9,81.7,4.2,76.5,91.0,2.1,93.8,7.4
Sweden,East Middle Sweden,Scandinavia,SE12,84.5,74.4,7.9,20258,1.0,7.4,82.3,9.2,86.5,93.0,1.7,92.0,7.3
Norway,Western Norway,Scandinavia,NO05,84.1,74.4,4.2,24291,0.2,7.1,82.7,4.4,79.3,92.0,2.0,93.6,7.5
Germany,Hesse,Central Europe,DE7,85.6,74.5,3.4,24689,1.2,7.6,81.6,14.3,77.0,93.0,1.7,91.9,6.8
Austria,Upper Austria,Central Europe,AT31,84.3,74.5,4.0,23824,0.5,7.2,82.2,16.2,81.8,88.0,1.9,94.0,7.4
Germany,Rhineland-Palatinate,Central Europe,DEB,83.8,74.6,3.4,24670,0.5,7.8,81.1,13.6,77.7,93.0,1.8,94.1,6.8
Czech Republic,Central Bohemian Region,Western Europe,CZ02,96.3,74.8,2.2,14630,1.7,9.3,79.2,16.4,63.4,87.0,1.5,78.6,6.2
Sweden,North Middle Sweden,Scandinavia,SE31,83.3,75.0,7.2,19796,0.7,7.6,81.8,6.4,85.9,88.0,1.8,94.1,7.3
Austria,Vorarlberg,Central Europe,AT34,83.0,75.1,3.8,25084,0.3,6.8,82.7,12.4,72.2,87.0,1.8,92.2,7.1
Slovak Republic,Bratislava Region,Central Europe,SK01,97.3,75.2,4.3,19836,1.4,9.4,78.9,21.5,66.4,84.0,1.1,88.1,6.5
Norway,Oslo Region,Scandinavia,NO01,84.7,75.4,4.8,27125,0.4,7.0,83.0,5.6,80.7,96.0,1.8,93.8,7.6
United Kingdom,East of England,British Isles,UKH,81.2,75.4,4.1,21369,0.8,7.2,82.2,12.1,67.6,94.0,2.1,94.6,6.9
United Kingdom,South West England,British Isles,UKK,84.7,75.6,3.8,20622,0.7,7.4,82.0,9.9,69.6,94.0,2.1,94.7,7.0
Norway,Trøndelag,Scandinavia,NO06,84.1,75.6,3.0,23395,0.2,7.1,82.8,4.5,78.0,89.0,2.0,96.3,7.7
Germany,Thuringia,Central Europe,DEG,94.5,75.9,4.5,20361,1.0,8.2,80.4,14.1,74.3,91.0,2.0,95.3,6.2
Germany,Hamburg,Central Europe,DE6,86.2,76.3,4.3,26408,1.1,7.8,81.2,12.6,76.0,96.0,1.8,95.0,7.0
Denmark,Copenhagen Region,Scandinavia,DK01,83.2,76.3,6.2,18996,0.9,8.3,80.8,10.2,85.8,93.0,1.8,96.9,7.7
